(pytorchenv) C:\Users\Forschung\Desktop\Codes\vorplanml\Classifiers>python Classifier_all_TL_M.py
Training on device: cpu
CNN(
  (encoder): Encoder(
    (conv1): Conv3d(1, 8, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv2): Conv3d(8, 16, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv3): Conv3d(16, 32, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (conv4): Conv3d(32, 64, kernel_size=(3, 3, 3), stride=(2, 2, 2))
    (activation): LeakyReLU(negative_slope=0.01)
  )
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=1728, out_features=128, bias=True)
  (relu): LeakyReLU(negative_slope=0.01)
  (fc2): Linear(in_features=128, out_features=64, bias=True)
  (fc3): Linear(in_features=64, out_features=32, bias=True)
  (fc4): Linear(in_features=32, out_features=16, bias=True)
  (fc5): Linear(in_features=16, out_features=6, bias=True)
  (sig): Sigmoid()
)
Datenverteilung: (5782 / 1003 / 18)
Training 1:
Epoch 1/50, Training Loss: 0.484122, Training Accuracy: 77.561241%, Validation Loss: 0.429432, Validation Accuracy: 78.059896%
Epoch 69/150, Training Loss: 0.205440, Training Accuracy: 90.739469%, Validation Loss: 0.343343, Validation Accuracy: 85.237630%
Epoch 70/150, Training Loss: 0.201339, Training Accuracy: 90.873970%, Validation Loss: 0.345914, Validation Accuracy: 85.384115%
Epoch 71/150, Training Loss: 0.197919, Training Accuracy: 91.082875%, Validation Loss: 0.341088, Validation Accuracy: 85.546875%
Epoch 72/150, Training Loss: 0.197284, Training Accuracy: 91.048535%, Validation Loss: 0.375538, Validation Accuracy: 85.839844%
Epoch 73/150, Training Loss: 0.194527, Training Accuracy: 91.191621%, Validation Loss: 0.358951, Validation Accuracy: 85.595703%
Epoch 74/150, Training Loss: 0.193959, Training Accuracy: 91.294643%, Validation Loss: 0.344192, Validation Accuracy: 85.270182%
Epoch 75/150, Training Loss: 0.193143, Training Accuracy: 91.231685%, Validation Loss: 0.373020, Validation Accuracy: 86.018880%
Epoch 76/150, Training Loss: 0.193637, Training Accuracy: 91.297505%, Validation Loss: 0.357283, Validation Accuracy: 85.888672%
Epoch 77/150, Training Loss: 0.195616, Training Accuracy: 91.291781%, Validation Loss: 0.362776, Validation Accuracy: 85.823568%
Epoch 78/150, Training Loss: 0.189532, Training Accuracy: 91.294643%, Validation Loss: 0.339232, Validation Accuracy: 85.725911%
Epoch 79/150, Training Loss: 0.184425, Training Accuracy: 91.537889%, Validation Loss: 0.383817, Validation Accuracy: 85.253906%
Epoch 80/150, Training Loss: 0.187822, Training Accuracy: 91.494963%, Validation Loss: 0.364317, Validation Accuracy: 86.083984%
Epoch 81/150, Training Loss: 0.181469, Training Accuracy: 91.698146%, Validation Loss: 0.348162, Validation Accuracy: 86.067708%
Epoch 82/150, Training Loss: 0.187410, Training Accuracy: 91.526442%, Validation Loss: 0.359256, Validation Accuracy: 86.067708%
Epoch 83/150, Training Loss: 0.181741, Training Accuracy: 91.786859%, Validation Loss: 0.356069, Validation Accuracy: 85.319010%
Epoch 84/150, Training Loss: 0.178904, Training Accuracy: 91.841232%, Validation Loss: 0.360289, Validation Accuracy: 86.067708%
Epoch 85/150, Training Loss: 0.183883, Training Accuracy: 91.689560%, Validation Loss: 0.340650, Validation Accuracy: 86.555990%
Epoch 86/150, Training Loss: 0.183527, Training Accuracy: 91.781136%, Validation Loss: 0.369936, Validation Accuracy: 86.116536%
Epoch 87/150, Training Loss: 0.182043, Training Accuracy: 91.723901%, Validation Loss: 0.378268, Validation Accuracy: 86.539714%
Epoch 88/150, Training Loss: 0.180791, Training Accuracy: 91.804029%, Validation Loss: 0.370351, Validation Accuracy: 85.709635%
Epoch 89/150, Training Loss: 0.182116, Training Accuracy: 91.783997%, Validation Loss: 0.386794, Validation Accuracy: 85.986328%
Epoch 90/150, Training Loss: 0.174883, Training Accuracy: 92.110234%, Validation Loss: 0.363547, Validation Accuracy: 86.295573%
Epoch 91/150, Training Loss: 0.176157, Training Accuracy: 92.058723%, Validation Loss: 0.362904, Validation Accuracy: 86.214193%
Epoch 92/150, Training Loss: 0.182799, Training Accuracy: 92.124542%, Validation Loss: 0.415593, Validation Accuracy: 85.839844%
Epoch 93/150, Training Loss: 0.181679, Training Accuracy: 92.064446%, Validation Loss: 0.380135, Validation Accuracy: 86.132812%
Epoch 94/150, Training Loss: 0.170377, Training Accuracy: 92.244734%, Validation Loss: 0.368065, Validation Accuracy: 85.986328%
Epoch 95/150, Training Loss: 0.175126, Training Accuracy: 91.958562%, Validation Loss: 0.344484, Validation Accuracy: 86.539714%
Epoch 96/150, Training Loss: 0.173346, Training Accuracy: 92.104510%, Validation Loss: 0.363232, Validation Accuracy: 86.149089%
Epoch 97/150, Training Loss: 0.176666, Training Accuracy: 92.010073%, Validation Loss: 0.346997, Validation Accuracy: 86.328125%
Epoch 98/150, Training Loss: 0.164999, Training Accuracy: 92.404991%, Validation Loss: 0.385386, Validation Accuracy: 86.018880%
Epoch 99/150, Training Loss: 0.170518, Training Accuracy: 92.178915%, Validation Loss: 0.371500, Validation Accuracy: 85.709635%
Epoch 100/150, Training Loss: 0.164255, Training Accuracy: 92.625343%, Validation Loss: 0.386376, Validation Accuracy: 86.279297%
Epoch 101/150, Training Loss: 0.166484, Training Accuracy: 92.387821%, Validation Loss: 0.360304, Validation Accuracy: 86.018880%
Epoch 102/150, Training Loss: 0.172942, Training Accuracy: 92.147436%, Validation Loss: 0.388098, Validation Accuracy: 86.230469%
Epoch 103/150, Training Loss: 0.168955, Training Accuracy: 92.267628%, Validation Loss: 0.377636, Validation Accuracy: 85.888672%
Epoch 104/150, Training Loss: 0.167640, Training Accuracy: 92.465087%, Validation Loss: 0.382898, Validation Accuracy: 86.425781%
Epoch 105/150, Training Loss: 0.165059, Training Accuracy: 92.382097%, Validation Loss: 0.375841, Validation Accuracy: 86.197917%
Epoch 106/150, Training Loss: 0.164006, Training Accuracy: 92.539492%, Validation Loss: 0.375067, Validation Accuracy: 86.002604%
Epoch 107/150, Training Loss: 0.164234, Training Accuracy: 92.602450%, Validation Loss: 0.414817, Validation Accuracy: 85.921224%
Epoch 108/150, Training Loss: 0.161937, Training Accuracy: 92.722642%, Validation Loss: 0.415010, Validation Accuracy: 86.279297%
Epoch 109/150, Training Loss: 0.166138, Training Accuracy: 92.570971%, Validation Loss: 0.379351, Validation Accuracy: 86.263021%
Epoch 110/150, Training Loss: 0.164543, Training Accuracy: 92.510875%, Validation Loss: 0.424497, Validation Accuracy: 86.051432%
Epoch 111/150, Training Loss: 0.164928, Training Accuracy: 92.462225%, Validation Loss: 0.418536, Validation Accuracy: 86.214193%
Epoch 112/150, Training Loss: 0.157083, Training Accuracy: 92.897207%, Validation Loss: 0.428533, Validation Accuracy: 86.653646%
Epoch 113/150, Training Loss: 0.156329, Training Accuracy: 92.885760%, Validation Loss: 0.456227, Validation Accuracy: 86.116536%
Epoch 114/150, Training Loss: 0.166509, Training Accuracy: 92.364927%, Validation Loss: 0.398236, Validation Accuracy: 86.376953%
Epoch 115/150, Training Loss: 0.165755, Training Accuracy: 92.456502%, Validation Loss: 0.354766, Validation Accuracy: 86.409505%
Epoch 116/150, Training Loss: 0.162246, Training Accuracy: 92.702610%, Validation Loss: 0.417857, Validation Accuracy: 86.718750%
Epoch 117/150, Training Loss: 0.161622, Training Accuracy: 92.848558%, Validation Loss: 0.410078, Validation Accuracy: 86.116536%
Epoch 118/150, Training Loss: 0.155497, Training Accuracy: 92.854281%, Validation Loss: 0.399547, Validation Accuracy: 86.409505%
Epoch 119/150, Training Loss: 0.157754, Training Accuracy: 92.765568%, Validation Loss: 0.393551, Validation Accuracy: 86.344401%
Epoch 120/150, Training Loss: 0.161336, Training Accuracy: 92.814217%, Validation Loss: 0.401217, Validation Accuracy: 86.555990%
Epoch 121/150, Training Loss: 0.154761, Training Accuracy: 92.874313%, Validation Loss: 0.396171, Validation Accuracy: 86.344401%
Epoch 122/150, Training Loss: 0.155003, Training Accuracy: 92.877175%, Validation Loss: 0.414964, Validation Accuracy: 86.328125%
Epoch 123/150, Training Loss: 0.153924, Training Accuracy: 92.900069%, Validation Loss: 0.376444, Validation Accuracy: 86.311849%
Epoch 124/150, Training Loss: 0.153134, Training Accuracy: 93.097527%, Validation Loss: 0.369404, Validation Accuracy: 86.718750%
Epoch 125/150, Training Loss: 0.171128, Training Accuracy: 92.656822%, Validation Loss: 0.389346, Validation Accuracy: 86.149089%
Epoch 126/150, Training Loss: 0.153291, Training Accuracy: 92.905792%, Validation Loss: 0.365509, Validation Accuracy: 86.555990%
Epoch 127/150, Training Loss: 0.153805, Training Accuracy: 93.031708%, Validation Loss: 0.372657, Validation Accuracy: 86.653646%
Epoch 128/150, Training Loss: 0.153763, Training Accuracy: 93.017399%, Validation Loss: 0.454353, Validation Accuracy: 86.458333%
Epoch 129/150, Training Loss: 0.149965, Training Accuracy: 93.166209%, Validation Loss: 0.392220, Validation Accuracy: 86.311849%
Epoch 130/150, Training Loss: 0.149861, Training Accuracy: 93.266369%, Validation Loss: 0.420504, Validation Accuracy: 86.686198%
Epoch 131/150, Training Loss: 0.147267, Training Accuracy: 93.191964%, Validation Loss: 0.456813, Validation Accuracy: 86.409505%
Epoch 132/150, Training Loss: 0.144310, Training Accuracy: 93.280678%, Validation Loss: 0.454579, Validation Accuracy: 86.686198%
Epoch 133/150, Training Loss: 0.153763, Training Accuracy: 92.988782%, Validation Loss: 0.425131, Validation Accuracy: 86.490885%
Epoch 134/150, Training Loss: 0.146491, Training Accuracy: 93.349359%, Validation Loss: 0.496206, Validation Accuracy: 86.214193%
Epoch 135/150, Training Loss: 0.149495, Training Accuracy: 93.180517%, Validation Loss: 0.462443, Validation Accuracy: 86.214193%
Epoch 136/150, Training Loss: 0.150921, Training Accuracy: 93.214858%, Validation Loss: 0.443995, Validation Accuracy: 86.507161%
Epoch 137/150, Training Loss: 0.144502, Training Accuracy: 93.369391%, Validation Loss: 0.441840, Validation Accuracy: 86.930339%
Epoch 138/150, Training Loss: 0.146797, Training Accuracy: 93.197688%, Validation Loss: 0.414659, Validation Accuracy: 86.653646%
Epoch 139/150, Training Loss: 0.144317, Training Accuracy: 93.395147%, Validation Loss: 0.476523, Validation Accuracy: 86.360677%
Epoch 140/150, Training Loss: 0.145647, Training Accuracy: 93.360806%, Validation Loss: 0.416570, Validation Accuracy: 86.653646%
Epoch 141/150, Training Loss: 0.144842, Training Accuracy: 93.315018%, Validation Loss: 0.456503, Validation Accuracy: 86.914062%
Epoch 142/150, Training Loss: 0.142777, Training Accuracy: 93.435211%, Validation Loss: 0.467574, Validation Accuracy: 86.653646%
Epoch 143/150, Training Loss: 0.142507, Training Accuracy: 93.526786%, Validation Loss: 0.472702, Validation Accuracy: 86.979167%
Epoch 144/150, Training Loss: 0.144166, Training Accuracy: 93.360806%, Validation Loss: 0.473247, Validation Accuracy: 86.800130%
Epoch 145/150, Training Loss: 0.148532, Training Accuracy: 93.237752%, Validation Loss: 0.432875, Validation Accuracy: 86.702474%
Epoch 146/150, Training Loss: 0.145547, Training Accuracy: 93.501030%, Validation Loss: 0.389550, Validation Accuracy: 86.946615%
Epoch 147/150, Training Loss: 0.139382, Training Accuracy: 93.609776%, Validation Loss: 0.441722, Validation Accuracy: 86.490885%
Epoch 148/150, Training Loss: 0.139581, Training Accuracy: 93.681319%, Validation Loss: 0.457565, Validation Accuracy: 86.393229%
